feature,selected,ranking,importance
ew_sigma,True,1,0.3352143071235771
ma24,False,41,
ma168,False,20,
sma_20,False,44,
sma_50,False,40,
sma_100,False,30,
ema_5,False,35,
ema_12,False,32,
ema_26,False,43,
ema_50,False,42,
ema_100,False,37,
bb_upper,False,11,
bb_middle,False,38,
bb_lower,False,27,
bb_width_20,False,3,
bb_percent_20,False,12,
adxr,False,9,
dx,False,39,
rsi_7,False,15,
rsi_14,False,28,
rsi_21,False,19,
stoch_k_5,False,17,
stoch_d_5,False,2,
stoch_k_14,False,25,
stoch_d_14,False,22,
uo,False,14,
cmo_20,False,33,
atr_7,False,16,
atr_14,False,26,
atr_21,False,7,
stddev_20,False,21,
vix_proxy,True,1,0.3314375844186764
macd,False,29,
macd_signal,False,31,
macd_hist,False,6,
plus_di,False,18,
minus_di,False,13,
aroon_osc_25,False,36,
sar,False,34,
trix,False,24,
price_sma20_ratio,False,23,
price_ema12_ratio,True,1,0.3333481084577466
price_momentum_5,False,5,
price_momentum_10,False,8,
price_momentum_24,False,10,
ema_crossover,False,45,
chop_14,False,4,
