feature,selected,ranking,importance
ew_sigma,True,1,0.989043883574224
ma24,False,33,
ma168,False,21,
sma_20,False,39,
sma_50,False,18,
sma_100,False,26,
ema_5,False,8,
ema_12,False,31,
ema_26,False,37,
ema_50,False,40,
ema_100,False,32,
bb_upper,False,24,
bb_middle,True,1,0.00251364656966957
bb_lower,False,25,
bb_width_20,False,10,
bb_percent_20,False,2,
adxr,False,6,
dx,False,5,
rsi_7,True,1,0.003241902599917431
rsi_14,False,35,
rsi_21,False,23,
stoch_k_5,False,29,
stoch_d_5,False,13,
stoch_k_14,False,36,
stoch_d_14,False,22,
uo,False,17,
cmo_20,False,34,
atr_7,False,15,
atr_14,True,1,0.0025094932448910404
atr_21,False,11,
stddev_20,True,1,0.0026910740112980514
vix_proxy,False,14,
macd,False,38,
macd_signal,False,27,
macd_hist,False,30,
plus_di,False,12,
minus_di,False,4,
aroon_osc_25,False,16,
sar,False,41,
trix,False,9,
price_sma20_ratio,False,20,
price_ema12_ratio,False,7,
price_momentum_5,False,3,
price_momentum_10,False,28,
price_momentum_24,False,19,
ema_crossover,False,42,
