feature,selected,ranking,importance
ew_sigma,True,1,0.9901427206261242
ma24,False,4,
ma168,False,8,
sma_20,False,33,
sma_50,True,1,0.005020457083100791
sma_100,False,16,
ema_5,False,46,
ema_12,False,45,
ema_26,False,41,
ema_50,False,29,
ema_100,False,22,
bb_upper,False,42,
bb_middle,False,37,
bb_lower,False,44,
bb_width_20,False,24,
bb_percent_20,False,15,
adxr,False,6,
dx,False,23,
rsi_7,True,1,0.0048368222907750865
rsi_14,False,36,
rsi_21,False,43,
stoch_k_5,False,20,
stoch_d_5,False,28,
stoch_k_14,False,3,
stoch_d_14,False,13,
uo,False,27,
cmo_20,False,40,
atr_7,False,21,
atr_14,False,38,
atr_21,False,11,
stddev_20,False,34,
vix_proxy,False,10,
macd,False,35,
macd_signal,False,26,
macd_hist,False,7,
plus_di,False,14,
minus_di,False,19,
aroon_osc_25,False,31,
sar,False,17,
trix,False,2,
price_sma20_ratio,False,39,
price_ema12_ratio,False,32,
price_momentum_5,False,5,
price_momentum_10,False,30,
price_momentum_24,False,18,
ema_crossover,False,47,
chop_14,False,12,
bop,False,25,
cp_prob,False,9,
