,number,value,datetime_start,datetime_complete,duration,params_clip_range,params_ent_coef,params_gamma,state
0,0,-132506.19996049925,2025-07-26 18:18:23.140914,2025-07-26 18:19:16.237016,0 days 00:00:53.096102,0.1,0.001,0.99,COMPLETE
1,1,-133154.54713633898,2025-07-26 18:19:16.237768,2025-07-26 18:20:59.981607,0 days 00:01:43.743839,0.4,1e-05,0.999,COMPLETE
2,2,-133154.54713633898,2025-07-26 18:20:59.982551,2025-07-26 18:22:20.479438,0 days 00:01:20.496887,0.3,1e-05,0.9,COMPLETE
3,3,-120995.69566423583,2025-07-26 18:22:20.480277,2025-07-26 18:23:39.468822,0 days 00:01:18.988545,0.1,0.001,0.9999,COMPLETE
4,4,-133154.54713633898,2025-07-26 18:23:39.469524,2025-07-26 18:24:59.626629,0 days 00:01:20.157105,0.2,0.0001,0.9,COMPLETE
5,5,-133154.54713633898,2025-07-26 18:24:59.627474,2025-07-26 18:26:20.019943,0 days 00:01:20.392469,0.1,0.01,0.9,COMPLETE
6,6,-68524.46647072035,2025-07-26 18:26:20.021200,2025-07-26 18:29:14.463718,0 days 00:02:54.442518,0.3,0.001,0.999,COMPLETE
7,7,-5142.345578523707,2025-07-26 18:29:14.464497,2025-07-26 18:30:24.986180,0 days 00:01:10.521683,0.1,1e-05,0.999,COMPLETE
8,8,-133154.54713633898,2025-07-26 18:30:24.986878,2025-07-26 18:32:09.086532,0 days 00:01:44.099654,0.4,0.0001,0.999,COMPLETE
9,9,-101312.55131635949,2025-07-26 18:32:09.087464,2025-07-26 18:33:18.186255,0 days 00:01:09.098791,0.4,0.01,0.9999,COMPLETE
10,10,-133154.54713633898,2025-07-26 18:33:18.187209,2025-07-26 18:34:30.569617,0 days 00:01:12.382408,0.2,1e-05,0.99,COMPLETE
11,11,-68524.46647072035,2025-07-26 18:34:30.570459,2025-07-26 18:37:24.997692,0 days 00:02:54.427233,0.3,0.001,0.999,COMPLETE
12,12,-98428.05491652864,2025-07-26 18:37:24.998528,2025-07-26 18:39:08.511280,0 days 00:01:43.512752,0.3,1e-05,0.999,COMPLETE
13,13,-68524.46647072035,2025-07-26 18:39:08.512141,2025-07-26 18:42:02.050342,0 days 00:02:53.538201,0.3,0.001,0.999,COMPLETE
14,14,-5142.345578523707,2025-07-26 18:42:02.051246,2025-07-26 18:43:12.993183,0 days 00:01:10.941937,0.1,1e-05,0.999,COMPLETE
15,15,-5142.345578523707,2025-07-26 18:43:12.994190,2025-07-26 18:44:23.587401,0 days 00:01:10.593211,0.1,1e-05,0.999,COMPLETE
16,16,-5142.345578523707,2025-07-26 18:44:23.588307,2025-07-26 18:45:34.000587,0 days 00:01:10.412280,0.1,1e-05,0.999,COMPLETE
17,17,-133154.54713633898,2025-07-26 18:45:34.001483,2025-07-26 18:46:25.319185,0 days 00:00:51.317702,0.1,1e-05,0.99,COMPLETE
18,18,-133154.54713633898,2025-07-26 18:46:25.320038,2025-07-26 18:47:44.368482,0 days 00:01:19.048444,0.1,1e-05,0.9999,COMPLETE
19,19,8186.158856296216,2025-07-26 18:47:44.369324,2025-07-26 18:48:28.365612,0 days 00:00:43.996288,0.1,0.01,0.999,COMPLETE
