,number,value,datetime_start,datetime_complete,duration,params_action_values,params_activation,params_dim_hidden_layers,params_learning_rate,state
0,0,1574.7770600596898,2025-07-26 22:37:10.958313,2025-07-26 22:37:39.588880,0 days 00:00:28.630567,"[0, 45, 50, 55]",relu,"[32, 32]",0.005,COMPLETE
1,1,37500.351382245804,2025-07-26 22:37:39.589277,2025-07-26 22:39:20.555070,0 days 00:01:40.965793,"[0, 25, 50]",tanh,"[64, 32]",0.01,COMPLETE
2,2,21930.02283312746,2025-07-26 22:39:20.555896,2025-07-26 22:40:52.013425,0 days 00:01:31.457529,"[0, 45, 50, 55]",relu,"[64, 32]",0.005,COMPLETE
3,3,2685.882117269618,2025-07-26 22:40:52.014526,2025-07-26 22:41:34.358951,0 days 00:00:42.344425,"[0, 45, 50, 55]",tanh,"[128, 128]",0.0001,COMPLETE
4,4,40564.46722825661,2025-07-26 22:41:34.359927,2025-07-26 22:42:36.765203,0 days 00:01:02.405276,"[0, 10, 15, 20]",relu,"[64, 64]",0.01,COMPLETE
5,5,3976.368451765015,2025-07-26 22:42:36.766030,2025-07-26 22:43:19.341845,0 days 00:00:42.575815,"[0, 45, 50, 55]",relu,"[256, 126]",1e-05,COMPLETE
6,6,2080.66840231805,2025-07-26 22:43:19.342812,2025-07-26 22:44:08.093770,0 days 00:00:48.750958,"[0, 45, 50, 55]",tanh,"[128, 64, 32]",0.01,COMPLETE
7,7,3477.3549830091843,2025-07-26 22:44:08.097074,2025-07-26 22:44:46.904895,0 days 00:00:38.807821,"[0, 45, 50, 55]",tanh,"[128, 64]",1e-05,COMPLETE
8,8,1574.7770600596898,2025-07-26 22:44:46.905449,2025-07-26 22:45:30.745378,0 days 00:00:43.839929,"[0, 45, 50, 55]",relu,"[128, 128]",0.005,COMPLETE
9,9,1574.7770600596898,2025-07-26 22:45:30.745938,2025-07-26 22:46:23.234616,0 days 00:00:52.488678,"[0, 45, 50, 55]",relu,"[256, 126]",0.0003,COMPLETE
10,10,40564.46722825661,2025-07-26 22:46:23.235739,2025-07-26 22:47:32.823557,0 days 00:01:09.587818,"[0, 10, 15, 20]",relu,"[64, 64]",5e-05,COMPLETE
11,11,40564.46722825661,2025-07-26 22:47:32.824682,2025-07-26 22:48:42.405548,0 days 00:01:09.580866,"[0, 10, 15, 20]",relu,"[64, 64]",5e-05,COMPLETE
12,12,40564.46722825661,2025-07-26 22:48:42.408000,2025-07-26 22:49:51.649247,0 days 00:01:09.241247,"[0, 10, 15, 20]",relu,"[64, 64]",5e-05,COMPLETE
13,13,1580.8503087695417,2025-07-26 22:49:51.649781,2025-07-26 22:51:13.610219,0 days 00:01:21.960438,"[0, 50, 100]",relu,"[64, 64]",0.001,COMPLETE
14,14,8496.585435238489,2025-07-26 22:51:13.611218,2025-07-26 22:52:36.895830,0 days 00:01:23.284612,"[0, 10, 20, 30]",relu,"[64, 64]",0.0005,COMPLETE
15,15,40564.46722825661,2025-07-26 22:52:36.896408,2025-07-26 22:53:37.091006,0 days 00:01:00.194598,"[0, 10, 15, 20]",relu,"[64, 64]",0.01,COMPLETE
16,16,7528.832734699842,2025-07-26 22:53:37.091991,2025-07-26 22:54:12.134839,0 days 00:00:35.042848,"[0, 10, 15, 20]",relu,"[128, 64]",5e-05,COMPLETE
17,17,40564.46722825661,2025-07-26 22:54:12.135404,2025-07-26 22:54:31.203192,0 days 00:00:19.067788,"[0, 10, 15, 20]",relu,"[128, 64, 32]",0.0005,COMPLETE
18,18,940.87449395577,2025-07-26 22:54:31.203610,2025-07-26 22:56:07.359413,0 days 00:01:36.155803,"[0, 25, 50]",tanh,"[32, 32]",0.0003,COMPLETE
19,19,25051.941361802146,2025-07-26 22:56:07.360524,2025-07-26 22:57:32.793664,0 days 00:01:25.433140,"[0, 50, 100]",relu,"[64, 64]",0.0001,COMPLETE
