,number,value,datetime_start,datetime_complete,duration,params_action_values,params_activation,params_dim_hidden_layers,params_learning_rate,state
0,0,-3873.8867324489197,2025-07-27 03:02:18.073924,2025-07-27 03:03:20.202503,0 days 00:01:02.128579,"[0, 30, 60, 90]",relu,"[64, 32]",0.0001,COMPLETE
1,1,-3873.8867324489197,2025-07-27 03:03:20.203264,2025-07-27 03:04:11.758930,0 days 00:00:51.555666,"[0, 30, 60, 90]",relu,"[64, 32]",0.0003,COMPLETE
2,2,-1624.2717386768759,2025-07-27 03:04:11.759816,2025-07-27 03:04:31.661745,0 days 00:00:19.901929,"[0, 10, 20, 30]",relu,"[128, 64]",0.0003,COMPLETE
3,3,-4342.735215845769,2025-07-27 03:04:31.662104,2025-07-27 03:06:07.819243,0 days 00:01:36.157139,"[0, 50, 100, 150]",tanh,"[128, 64]",0.0001,COMPLETE
4,4,1200.9202291600257,2025-07-27 03:06:07.820075,2025-07-27 03:06:29.575904,0 days 00:00:21.755829,"[0, 5, 10, 15, 20]",relu,"[128, 64, 32]",0.0003,COMPLETE
5,5,-4118.750291617316,2025-07-27 03:06:29.576263,2025-07-27 03:07:14.163482,0 days 00:00:44.587219,"[0, 30, 60, 90]",relu,"[128, 64]",0.0001,COMPLETE
6,6,-401.96030512694875,2025-07-27 03:07:14.163878,2025-07-27 03:07:26.304784,0 days 00:00:12.140906,"[0, 5, 10, 15, 20]",relu,"[32, 32]",0.0001,COMPLETE
7,7,-38407.38258019429,2025-07-27 03:07:26.305168,2025-07-27 03:10:56.427110,0 days 00:03:30.121942,"[0, 10, 20, 30]",tanh,"[64, 32]",0.0001,COMPLETE
8,8,5863.0253747710685,2025-07-27 03:10:56.427982,2025-07-27 03:11:13.397125,0 days 00:00:16.969143,"[0, 5, 10, 15, 20]",tanh,"[128, 64]",0.0003,COMPLETE
9,9,1200.9202291600257,2025-07-27 03:11:13.397494,2025-07-27 03:12:03.391630,0 days 00:00:49.994136,"[0, 5, 10, 15, 20]",relu,"[128, 128]",0.0003,COMPLETE
10,10,7338.8980039715825,2025-07-27 03:12:03.392045,2025-07-27 03:14:32.003593,0 days 00:02:28.611548,"[0, 50, 100, 150]",tanh,"[256, 128, 64]",0.001,COMPLETE
11,11,7338.8980039715825,2025-07-27 03:14:32.004355,2025-07-27 03:17:00.688044,0 days 00:02:28.683689,"[0, 50, 100, 150]",tanh,"[256, 128, 64]",0.001,COMPLETE
12,12,7338.8980039715825,2025-07-27 03:17:00.690599,2025-07-27 03:19:29.729800,0 days 00:02:29.039201,"[0, 50, 100, 150]",tanh,"[256, 128, 64]",0.001,COMPLETE
13,13,7338.8980039715825,2025-07-27 03:19:29.732694,2025-07-27 03:21:57.876711,0 days 00:02:28.144017,"[0, 50, 100, 150]",tanh,"[256, 128, 64]",0.001,COMPLETE
14,14,7338.8980039715825,2025-07-27 03:21:57.877243,2025-07-27 03:24:26.174591,0 days 00:02:28.297348,"[0, 50, 100, 150]",tanh,"[256, 128, 64]",0.001,COMPLETE
15,15,12555.820341964549,2025-07-27 03:24:26.175393,2025-07-27 03:26:06.829810,0 days 00:01:40.654417,"[0, 50, 100, 150]",tanh,"[256, 128]",0.001,COMPLETE
16,16,12555.820341964549,2025-07-27 03:26:06.830273,2025-07-27 03:27:47.307552,0 days 00:01:40.477279,"[0, 50, 100, 150]",tanh,"[256, 128]",0.001,COMPLETE
17,17,12555.820341964549,2025-07-27 03:27:47.308052,2025-07-27 03:29:28.088001,0 days 00:01:40.779949,"[0, 50, 100, 150]",tanh,"[256, 128]",0.001,COMPLETE
18,18,12555.820341964549,2025-07-27 03:29:28.088917,2025-07-27 03:31:08.456612,0 days 00:01:40.367695,"[0, 50, 100, 150]",tanh,"[256, 128]",0.001,COMPLETE
19,19,-1782.992998273896,2025-07-27 03:31:08.457625,2025-07-27 03:31:44.871714,0 days 00:00:36.414089,"[0, 10, 20, 30]",tanh,"[256, 128]",0.001,COMPLETE
